Price,sse_index
Ticker,000001.SS
date,
2010-01-04,3243.760009765625
2010-01-05,3282.178955078125
2010-01-06,3254.215087890625
2010-01-07,3192.77587890625
2010-01-08,3195.9970703125
2010-01-11,3212.75
2010-01-12,3273.966064453125
2010-01-13,3172.657958984375
2010-01-14,3215.550048828125
2010-01-15,3224.152099609375
2010-01-18,3237.097900390625
2010-01-19,3246.8740234375
2010-01-20,3151.85009765625
2010-01-21,3158.863037109375
2010-01-22,3128.587890625
2010-01-25,3094.410888671875
2010-01-26,3019.39404296875
2010-01-27,2986.60693359375
2010-01-28,2994.14306640625
2010-01-29,2989.2919921875
2010-02-01,2941.360107421875
2010-02-02,2934.712890625
2010-02-03,3003.8349609375
2010-02-04,2995.30810546875
2010-02-05,2939.402099609375
2010-02-08,2935.174072265625
2010-02-09,2948.842041015625
2010-02-10,2982.5
2010-02-11,2985.4990234375
2010-02-12,3018.133056640625
2010-02-22,3003.39794921875
2010-02-23,2982.574951171875
2010-02-24,3022.177001953125
2010-02-25,3060.617919921875
2010-02-26,3051.943115234375
2010-03-01,3087.842041015625
2010-03-02,3073.10791015625
2010-03-03,3097.0048828125
2010-03-04,3023.373046875
2010-03-05,3031.06494140625
2010-03-08,3053.23193359375
2010-03-09,3069.14111328125
2010-03-10,3048.927001953125
2010-03-11,3051.281982421875
2010-03-12,3013.412109375
2010-03-15,2976.93896484375
2010-03-16,2992.841064453125
2010-03-17,3050.47900390625
2010-03-18,3046.089111328125
2010-03-19,3067.75
2010-03-22,3074.575927734375
2010-03-23,3053.125
2010-03-24,3056.80810546875
2010-03-25,3019.176025390625
2010-03-26,3059.715087890625
2010-03-29,3123.798095703125
2010-03-30,3128.468017578125
2010-03-31,3109.10498046875
2010-04-01,3147.416015625
2010-04-02,3157.95703125
2010-04-06,3158.680908203125
2010-04-07,3148.221923828125
2010-04-08,3118.708984375
2010-04-09,3145.346923828125
2010-04-12,3129.262939453125
2010-04-13,3161.2509765625
2010-04-14,3166.18310546875
2010-04-15,3164.966064453125
2010-04-16,3130.302001953125
2010-04-19,2980.297119140625
2010-04-20,2979.532958984375
2010-04-21,3033.278076171875
2010-04-22,2999.48388671875
2010-04-23,2983.537109375
2010-04-26,2969.5029296875
2010-04-27,2907.927978515625
