Price,dxy
Ticker,DX-Y.NYB
date,
2010-01-04,77.52999877929688
2010-01-05,77.62000274658203
2010-01-06,77.48999786376953
2010-01-07,77.91000366210938
2010-01-08,77.47000122070312
2010-01-11,77.0
2010-01-12,76.94999694824219
2010-01-13,76.8499984741211
2010-01-14,76.7300033569336
2010-01-15,77.31999969482422
2010-01-19,77.5
2010-01-20,78.33999633789062
2010-01-21,78.31999969482422
2010-01-22,78.27999877929688
2010-01-25,78.19000244140625
2010-01-26,78.43000030517578
2010-01-27,78.68000030517578
2010-01-28,78.9000015258789
2010-01-29,79.45999908447266
2010-02-01,79.23999786376953
2010-02-02,79.01000213623047
2010-02-03,79.37000274658203
2010-02-04,79.91999816894531
2010-02-05,80.44000244140625
2010-02-08,80.30000305175781
2010-02-09,79.86000061035156
2010-02-10,80.02999877929688
2010-02-11,79.98999786376953
2010-02-12,80.31999969482422
2010-02-16,79.69999694824219
2010-02-17,80.37999725341797
2010-02-18,80.4000015258789
2010-02-19,80.63999938964844
2010-02-22,80.51000213623047
2010-02-23,80.8499984741211
2010-02-24,80.8499984741211
2010-02-25,80.79000091552734
2010-02-26,80.36000061035156
2010-03-01,80.66000366210938
2010-03-02,80.5199966430664
2010-03-03,79.9800033569336
2010-03-04,80.55999755859375
2010-03-05,80.43000030517578
2010-03-08,80.43000030517578
2010-03-09,80.58999633789062
2010-03-10,80.44999694824219
2010-03-11,80.31999969482422
2010-03-12,79.83000183105469
2010-03-15,80.25
2010-03-16,79.75
2010-03-17,79.63999938964844
2010-03-18,80.22000122070312
2010-03-19,80.72000122070312
2010-03-22,80.6500015258789
2010-03-23,80.9000015258789
2010-03-24,81.83999633789062
2010-03-25,82.12000274658203
2010-03-26,81.68000030517578
2010-03-29,81.36000061035156
2010-03-30,81.47000122070312
2010-03-31,81.06999969482422
2010-04-01,80.77999877929688
2010-04-05,81.08999633789062
2010-04-06,81.38999938964844
2010-04-07,81.44000244140625
2010-04-08,81.52999877929688
2010-04-09,81.08999633789062
2010-04-12,80.55999755859375
2010-04-13,80.51000213623047
2010-04-14,80.19000244140625
2010-04-15,80.4800033569336
2010-04-16,80.81999969482422
2010-04-19,81.0
2010-04-20,81.05000305175781
2010-04-21,81.16000366210938
2010-04-22,81.56999969482422
2010-04-23,81.3499984741211
2010-04-26,81.4800033569336
2010-04-27,82.1500015258789
2010-04-28,82.37999725341797
2010-04-29,82.0
2010-04-30,81.87000274658203
2010-05-03,82.2699966430664
2010-05-04,83.30000305175781
2010-05-05,84.08000183105469
2010-05-06,84.88999938964844
2010-05-07,84.44999694824219
2010-05-10,84.16000366210938
2010-05-11,84.47000122070312
2010-05-12,84.83000183105469
2010-05-13,85.20999908447266
2010-05-14,86.0999984741211
2010-05-17,86.20999908447266
2010-05-18,87.16000366210938
2010-05-19,86.38999938964844
2010-05-20,85.56999969482422
2010-05-21,85.37000274658203
2010-05-24,86.20999908447266
2010-05-25,86.77999877929688
2010-05-26,87.12000274658203
2010-05-27,86.18000030517578
