Price,gld_etf
Ticker,GLD
date,
2010-01-04,109.80000305175781
2010-01-05,109.69999694824219
2010-01-06,111.51000213623047
2010-01-07,110.81999969482422
2010-01-08,111.37000274658203
2010-01-11,112.8499984741211
2010-01-12,110.48999786376953
2010-01-13,111.54000091552734
2010-01-14,112.02999877929688
2010-01-15,110.86000061035156
2010-01-19,111.5199966430664
2010-01-20,108.94000244140625
2010-01-21,107.37000274658203
2010-01-22,107.16999816894531
2010-01-25,107.4800033569336
2010-01-26,107.55999755859375
2010-01-27,106.52999877929688
2010-01-28,106.4800033569336
2010-01-29,105.95999908447266
2010-02-01,108.3499984741211
2010-02-02,109.12999725341797
2010-02-03,108.69999694824219
2010-02-04,104.37000274658203
2010-02-05,104.68000030517578
2010-02-08,104.04000091552734
2010-02-09,105.41000366210938
2010-02-10,105.12000274658203
2010-02-11,107.12999725341797
2010-02-12,107.04000091552734
2010-02-16,109.62000274658203
2010-02-17,109.25
2010-02-18,109.9800033569336
2010-02-19,109.47000122070312
2010-02-22,109.06999969482422
2010-02-23,107.88999938964844
2010-02-24,107.36000061035156
2010-02-25,108.30999755859375
2010-02-26,109.43000030517578
2010-03-01,109.43000030517578
2010-03-02,111.0199966430664
2010-03-03,111.62999725341797
2010-03-04,110.83000183105469
2010-03-05,110.80999755859375
2010-03-08,109.87999725341797
2010-03-09,109.72000122070312
2010-03-10,108.47000122070312
2010-03-11,108.5999984741211
2010-03-12,107.94999694824219
2010-03-15,108.36000061035156
2010-03-16,110.4000015258789
2010-03-17,109.58999633789062
2010-03-18,110.33999633789062
2010-03-19,108.27999877929688
2010-03-22,107.75
2010-03-23,108.31999969482422
2010-03-24,106.30000305175781
2010-03-25,106.77999877929688
2010-03-26,108.58999633789062
2010-03-29,108.75
2010-03-30,107.97000122070312
2010-03-31,108.94999694824219
2010-04-01,110.26000213623047
2010-04-05,110.88999938964844
2010-04-06,111.02999877929688
2010-04-07,112.48999786376953
2010-04-08,112.6500015258789
2010-04-09,113.63999938964844
2010-04-12,113.01000213623047
2010-04-13,112.69000244140625
2010-04-14,113.02999877929688
2010-04-15,113.6500015258789
2010-04-16,111.23999786376953
2010-04-19,111.1500015258789
2010-04-20,111.45999908447266
2010-04-21,112.30999755859375
2010-04-22,111.83999633789062
2010-04-23,113.19000244140625
2010-04-26,112.75
2010-04-27,114.62999725341797
2010-04-28,114.30999755859375
2010-04-29,114.27999877929688
2010-04-30,115.36000061035156
2010-05-03,115.7300033569336
2010-05-04,114.87000274658203
2010-05-05,115.08999633789062
2010-05-06,118.48999786376953
2010-05-07,118.2699966430664
2010-05-10,117.56999969482422
2010-05-11,120.66000366210938
2010-05-12,121.4000015258789
2010-05-13,120.55999755859375
2010-05-14,120.37000274658203
2010-05-17,119.36000061035156
2010-05-18,119.48999786376953
2010-05-19,116.62999725341797
2010-05-20,115.83999633789062
2010-05-21,115.22000122070312
2010-05-24,116.83999633789062
2010-05-25,117.36000061035156
2010-05-26,118.47000122070312
2010-05-27,118.69000244140625
2010-05-28,118.87999725341797
2010-06-01,119.91000366210938
2010-06-02,119.77999877929688
2010-06-03,117.95999908447266
2010-06-04,119.19000244140625
2010-06-07,121.48999786376953
2010-06-08,121.0
2010-06-09,120.55999755859375
2010-06-10,118.97000122070312
2010-06-11,120.01000213623047
2010-06-14,119.5999984741211
2010-06-15,120.98999786376953
2010-06-16,120.33000183105469
2010-06-17,121.9000015258789
2010-06-18,122.83000183105469
2010-06-21,120.38999938964844
2010-06-22,121.44999694824219
2010-06-23,120.94999694824219
2010-06-24,121.30000305175781
2010-06-25,122.76000213623047
2010-06-28,121.08999633789062
2010-06-29,121.2699966430664
2010-06-30,121.68000030517578
2010-07-01,117.04000091552734
2010-07-02,118.48999786376953
2010-07-06,116.51000213623047
2010-07-07,117.7300033569336
2010-07-08,117.20999908447266
2010-07-09,118.36000061035156
2010-07-12,117.33999633789062
2010-07-13,118.36000061035156
2010-07-14,118.30000305175781
2010-07-15,118.2300033569336
2010-07-16,116.66999816894531
2010-07-19,115.7300033569336
2010-07-20,116.6500015258789
2010-07-21,115.8499984741211
2010-07-22,116.86000061035156
2010-07-23,116.08999633789062
2010-07-26,115.5199966430664
2010-07-27,113.51000213623047
2010-07-28,113.77999877929688
2010-07-29,114.29000091552734
2010-07-30,115.48999786376953
2010-08-02,115.54000091552734
2010-08-03,115.98999786376953
2010-08-04,116.72000122070312
2010-08-05,116.9800033569336
2010-08-06,117.83999633789062
2010-08-09,117.4000015258789
2010-08-10,117.7300033569336
2010-08-11,117.33999633789062
2010-08-12,118.7699966430664
2010-08-13,118.73999786376953
2010-08-16,119.7300033569336
2010-08-17,119.75
2010-08-18,120.22000122070312
2010-08-19,120.38999938964844
2010-08-20,119.97000122070312
2010-08-23,119.77999877929688
2010-08-24,120.36000061035156
2010-08-25,121.36000061035156
2010-08-26,120.95999908447266
2010-08-27,121.01000213623047
2010-08-30,120.91000366210938
2010-08-31,122.08000183105469
2010-09-01,121.69000244140625
2010-09-02,122.29000091552734
2010-09-03,121.86000061035156
2010-09-07,122.69999694824219
2010-09-08,122.70999908447266
2010-09-09,121.55999755859375
2010-09-10,121.7300033569336
2010-09-13,121.62000274658203
2010-09-14,124.0199966430664
2010-09-15,123.94000244140625
2010-09-16,124.62999725341797
2010-09-17,124.54000091552734
2010-09-20,124.87000274658203
2010-09-21,126.01000213623047
2010-09-22,126.19999694824219
2010-09-23,126.30000305175781
2010-09-24,126.69000244140625
2010-09-27,126.72000122070312
2010-09-28,127.8499984741211
2010-09-29,127.94999694824219
2010-09-30,127.91000366210938
2010-10-01,128.91000366210938
2010-10-04,128.4600067138672
2010-10-05,130.99000549316406
2010-10-06,131.80999755859375
2010-10-07,130.3699951171875
2010-10-08,131.66000366210938
2010-10-11,132.2899932861328
2010-10-12,131.9600067138672
2010-10-13,134.07000732421875
2010-10-14,134.75
2010-10-15,133.67999267578125
2010-10-18,134.27999877929688
2010-10-19,130.11000061035156
2010-10-20,131.32000732421875
2010-10-21,129.47000122070312
2010-10-22,129.72999572753906
2010-10-25,130.85000610351562
2010-10-26,130.8800048828125
2010-10-27,129.52000427246094
2010-10-28,131.24000549316406
2010-10-29,132.6199951171875
2010-11-01,131.9199981689453
2010-11-02,132.49000549316406
2010-11-03,131.57000732421875
2010-11-04,136.02999877929688
2010-11-05,136.3800048828125
2010-11-08,137.77999877929688
2010-11-09,135.58999633789062
2010-11-10,137.24000549316406
2010-11-11,137.66000366210938
2010-11-12,133.69000244140625
2010-11-15,132.4199981689453
2010-11-16,130.97000122070312
2010-11-17,130.3800048828125
2010-11-18,132.08999633789062
2010-11-19,132.1999969482422
2010-11-22,133.47999572753906
2010-11-23,134.41000366210938
2010-11-24,134.17999267578125
2010-11-26,133.11000061035156
2010-11-29,133.50999450683594
2010-11-30,135.4199981689453
